"victim","sq","victim_age","victim_race","victim_gender","URL.of.image.of.victim","doi.x","Agency.responsible.for.death","Cause.of.death","A.brief.description.of.the.circumstances.surrounding.the.death","Official.disposition.of.death..justified.or.other.","Criminal.Charges.","Symptoms.of.mental.illness.","Armed.Unarmed.Status","Alleged.Weapon..Source..WaPo.and.Review.of.Cases.Not.Included.in.WaPo.Database.","Alleged.Threat.Level..Source..WaPo.","Fleeing..Source..WaPo.","Body.Camera..Source..WaPo.","Zip","City_y","State_y","Latitude","Longitude","Link.to.news.article.or.photo.of.official.document"
"Kevin Dejon Grissett",1.09861228866811,"25","Black","Male","http://thumbs.mugshots.com/gallery/images/8d/63/Kevin-Dejon-Grissett-mugshot-24130338.400x800.jpg","2014-02-01","Hope Mills Police Department","Gunshot","Grissett was shot by a police officer after crashing his car into law enforcement vehicles. The high-speed chase started after authorities tried to pull him over in connection with a drug investigation. It ended when Grissett rammed his car into two law enforcement vehicles. Officers fired at the car, hitting Grissett.","Unreported","No known charges","Drug or alcohol use","Vehicle","vehicle ","","","",28306,"Fayetteville","NC",35.003712,-78.92179,"http://www.wral.com/man-dies-from-injuries-sustained-following-hope-mills-chase-shooting/13351322/"
"Kevin Ernest Tree",42.9705029623082,"54","White","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Kevin-Ernest-Tree.png","2017-01-12","Ocala Police Department","Gunshot","Tree may have been suicidal when he was shot and killed by Ocala police at the Holiday Inn Express.","Justified by State Attorney","No known charges","Yes","Allegedly Armed","gun","other","Not fleeing","No",34471,"Ocala","FL",29.171187,-82.10394,"http://www.ocala.com/news/20170112/man-fatally-shot-in-confrontation-with-police-at-ocala-hotel"
"Kevin Fox",66.0166536402046,"28","Black","Male","https://fatalencounters.org/wp-content/uploads/2020/12/Kevin-Fox.jpg","2020-12-01","Detroit Police Department","Gunshot","Kevin Fox allegedly fired on a police precinct, then drove a half-block away and parked. He and police exchanged gunfire, and Fox was shot and killed. Fox had allegedly killed his girlfriend prior to the exchange at the precinct.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","car","no",48215,"Detroit","MI",42.378287,-82.95243,"https://www.detroitnews.com/story/news/local/detroit-city/2020/12/01/shots-fired-5th-precinct-police-respond-suspected-gunman/6474660002/"
"Kevin Hall",163.25958478334,"40","White","Male","http://www.fatalencounters.org/wp-content/uploads/2018/03/KevinHall.jpg","2018-03-23","Michigan State Police, Flint Police Department","Gunshot","Kevin Hall, a Flint man suspected of armed robbery, was killed during a 90-minute standoff with police.","Pending investigation/No Known Charges","No known charges","No","Unclear","unknown weapon","other","Car","No",48506,"Flint","MI",43.047826,-83.64688,"http://www.mlive.com/news/flint/index.ssf/2018/03/police_identify_man_in_deadly.html#incart_most-read_"
"Kevin Hayes",50.8851088448072,"57","Unknown Race","Male","","2021-02-01","Snyder Police Department, Scurry County Sheriff's Office","Gunshot","Snyder police and Scurry County deputies were called to the Rip Griffin Travel Center truck stop around 6:45 p.m. for a report of a disturbance.Kevin Hayes reportedly was holding a gun. When officers told him to drop it, Hayes shot at officers, who shot and killed him.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","","no",79549,"Snyder","TX",32.760229,-100.95344,"https://ktxs.com/news/local/dps-identifies-man-killed-in-officer-involved-shooting-in-snyder"
"Kevin Hicks",7.02464903045364,"44","Black","Male","http://www.gannett-cdn.com/-mm-/a3c9f2592a8a8a98de861d14eb08b7123f78d12a/c=24-0-407-288&r=x404&c=534x401/local/-/media/2016/04/06/INGroup/Indianapolis/635955375128443585-10thRural.jpg","2016-04-05","Indianapolis Metropolitan Police Department","Gunshot","Hicks was shot by an officer during a physical struggle at a gas station, according to authorities. The officer was responding to a call from Hicks's wife alleging that Hicks was hitting her. A witness reportedly claimed the officer started the struggle by striking Hicks first while handcuffing him. Authorities later said the officer tried to use a Taser on Hicks but that the weapon was knocked from his hand. The officer was treated for a bite to a hand and was being monitored for a possible concussion.","Justified by Prosecutor","No known charges","Unknown","Unarmed/Did Not Have Actual Weapon","no object","attack","Not fleeing","Yes",46201,"Indianapolis","IN",39.775125,-86.10839,"http://www.indystar.com/story/news/crime/2016/04/05/police-investigate-officer-involved-shooting-east-side/82682546/"
"Kevin Janson Neal",14.2809035746523,"44","White","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Kevin-Janson-Neal.png","2017-11-14","Tehama County Sheriff's Office","Gunshot","Kevin Janson Neal killed four people and wounded at least ten others, including children, during a shooting rampage before being fatally shot by police.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","undetermined","Not fleeing","No",96021,"Corning","CA",39.918271,-122.21393,"http://sanfrancisco.cbslocal.com/2017/11/14/rancho-tehama-northern-california-fatal-shooting/"
"Kevin Jenkins",6.4831073514572,"52","Unknown Race","Male","","2019-08-08","Kentucky State Police","Gunshot","Kevin D. Jenkins allegedly made threatening and suicidal comments. Jenkins refused to come out of the home, and when deputies entered they reportedly found him with a firearm. Police said he refused commands to put the weapon down and then pointed the firearm at the officers, and a trooper shot and killed him.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","attack","Not fleeing","No",42754,"Leitchfield","KY",37.479797,-86.30731,"https://www.wave3.com/2019/08/09/man-shot-killed-by-law-enforcement-breckinridge-county-identified/"
"Kevin Johnson",168.79112859194,"28","White","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Kevin-Johnson.jpg","2017-02-22","Polk County Sheriff's Office","Gunshot","Police were searching a meth-associated house, and found Kevin Johnson hiding behind a false wall. He fired on officers and was either shot and killed or killed by the explosion when police blew out a wall.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","",33850,"Lake Alfred","FL",28.092512,-81.72758,"http://www.abcactionnews.com/news/local-news/barricaded-man-exchanges-gunfire-with-deputies-in-lake-alfred"
"Kevin Judson",7.67600993202889,"24","Black","Male","http://images.bimedia.net/images/150701_Kevin_Lamont_Judson_story_insert.jpg","2015-07-01","Yamhill County Sheriff's Office","Gunshot","A deputy fatally shot Judson after struggling with the 24-year-old after a traffic stop, and firing the fatal shots after Judson tried to drive off in the deputy's patrol car.","Justified","No known charges","No","Vehicle","vehicle","attack","Foot","No",97128,"Mcminnville","OR",45.210104,-123.20747,"http://www.katu.com/news/local/DA-clears-deputy-in-deadly-McMinnville-shooting-316055961.html"
"Kevin L. Duncan",8.40938523878193,"38","Black","Male","https://fatalencounters.org/wp-content/uploads/2021/04/Kevin-L.-Duncan.jpeg","2021-03-20","Bellefontaine Police Department","Physical Restraint","Officers pulled over a man and told him to get out of the vehicle. An officer reportedly got hurt in a fight. When backup officers arrived, they found the man exhibiting aggressive behavior. Officers sicced a dog on him, and after he was restrained he reportedly started having a medical emergency. Multiple doses of Narcan were not successful, and he died.","Pending investigation","No known charges","Unknown","Unarmed/Did Not Have Actual Weapon","no object","other","not fleeing","",43311,"Bellefontaine","OH",40.365923,-83.75816,"https://www.whio.com/news/crime-and-law/man-dies-bellefontaine-pd-custody-department-calls-bci-help-investigate/4LFITZELMRFUXGAAINJXPTZU2I/"
"Kevin Matthews",240.901746677005,"35","Black","Male","http://www.killedbypolice.net/victims/151174.jpg","2015-12-23","Dearborn Police Department","Gunshot","Dearborn police said the officer was patrolling the area of Tireman and Greenfield at the Dearborn-Detroit border when he saw Kevin. Police say he ran when the officer approached. ""The officer chased the subject and encountered him several houses away in Detroit, where a struggle ensued,"" the news release said. ""Subsequently, the officer fired his department-issued weapon, striking the subject.""  He was unarmed, and community members dispute the police narrative.","Justified by Prosecutor","No known charges","Yes","Unarmed/Did Not Have Actual Weapon","no object","other","Not fleeing","No",48228,"Detroit","MI",42.355437,-83.21722,"http://www.freep.com/story/news/local/2015/12/23/police-dearborn-officer-involved-fatal-shooting/77834122/"
"Kevin McDaniel",68.9292289284945,"46","White","Male","http://khq.images.worldnow.com/images/8550850_G.jpg","2015-08-08","Spokane Police Department","Gunshot","McDaniel entered a standoff with police when they found McDaniel man in a house. He then started firing a gun from inside the house toward officers. Then he came out of the house shooting and was shot and killed.","Pending investigation/No Known Charges","No known charges","Unknown","Allegedly Armed","gun","attack","Not fleeing","No",99207,"Spokane","WA",47.693741,-117.38829,"http://www.khq.com/story/29771812/man-killed-in-officer-involved-shooting-identified"
"Kevin Peterson Jr.",48.2343461404151,"21","Black","Male","https://fatalencounters.org/wp-content/uploads/2020/11/Kevin-E.-Peterson-Jr..jpeg","2020-10-29","Clark County Sheriff's Department","Gunshot","Deputies responded to a call of a man allegedly selling drugs. When they arrived, Peterson ran. Police sent out a press release alleging Peterson had a handgun, and shortly after producing the gun three deputies fired. Few other details exist around the circumstances of the incident.","Pending investigation","No known charges","No","Allegedly Armed","gun","other","Foot","No",98665,"Vancouver","WA",45.681271,-122.66712,"https://www.kgw.com/article/news/local/vancouver/police-shooting-kevin-peterson-jr-hazel-dell-confusion/283-d6cb4f8a-d354-4b33-897c-e1822a04f04e"
"Kevin Pulido",5.73009978297357,"43","Hispanic","Male","https://fatalencounters.org/wp-content/uploads/2020/06/Kevin-Pulido.jpg","2020-06-23","Pueblo Police Department","Gunshot","Responding to complaints about a man with a gun, an officer pulled up and saw a man who matched the description. The man allegedly pointed the gun at her vehicle. She disengaged and pulled away. Other officers converged, and the man walked toward the officers, and three officers shot and killed him.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","","No",81004,"Pueblo","CO",38.197344,-104.6331,"https://www.chieftain.com/news/20200623/1-dead-in-officer-involved-shooting-on-pueblorsquos-south-side"
"Kevin Ross",61.8014862203286,"29","White","Male","http://4.bp.blogspot.com/-3HQJ3hOofTY/UrSmCkfGqdI/AAAAAAAAmBI/XW9pU_LjDXw/s640/chi-evanston-murder-bank-robbery-20131220.jpg","2013-12-16","Evanston Police Deparment","Gunshot","Police responded to bank robbery, and found a man (Kevin) that matched the description a couple of blocks away from the bank. When the police asked him to drop his gun, he refused and the officers opened fire. An investigation done after the death tied the deceased to a double murder in the same block a few months earlier.","Unreported","No known charges","No","Allegedly Armed","unclear weapon","","","",60201,"Evanston","IL",42.056391,-87.69684,"http://evanstonroundtable.com/main.asp?FromHome=1&TypeID=1&ArticleID=8107&SectionID=15&SubSectionID=26"
"Keyshon Parham",6.83947643822884,"19","Black","Male","https://www.fatalencounters.org/wp-content/uploads/2018/10/KeyshonParhamI.jpg","2018-10-17","Shelby County Sheriff's Office","Gunshot","A deputy was shot at Eden at Watersedge apartments. Deputies arrived at the complex to search for Keyshon Parham, who has been wanted for several weeks. Several deputies chased the suspect before they shot and killed him, although details as to what precipitated the killing were withheld by police.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Foot","No",38115,"Memphis","TN",35.057311,-89.86291,"http://www.wmcactionnews5.com/2018/10/17/shelby-county-deputy-shot-apartment-complex/"
"Kim Jackson",21.5989433725005,"53","White","Female","","2016-10-08","Modesto Police Department","Gunshot","Officers were called to a family disturbance. According to police, the caller reported his 53-year-old daughter was intoxicated and vandalizing the inside of his residence. When officers arrived, the woman had left the home, but she returned and was armed with a knife. When police returned to the residence, the woman, armed with knives, confronted them in the street. Police said officers told her to drop the knives but she “advanced rapidly at them with the knives raised above her head.” Officers used a Taser and bean bags before one officer shot and killed her.","Pending investigation/No Known Charges","No known charges","Drug or alcohol use","Allegedly Armed","knife","attack","Not fleeing","No",95355,"Modesto","CA",37.673513,-120.95566,"http://www.modbee.com/news/local/crime/article106987017.html"
"Kimani Gray",7.9973268229981,"16","Black","Male","","2013-03-10","New York Police Department","Gunshot","When the officers were noticed by the group of young men, they saw Kimani fidget with his waistband and then break away from the group and act suspiciously, police said. Two officers exited their vehicle and attempted to speak with the young man around 11:25 p.m., according to police, when Kimani allegedly turned on them and pointed a .38 caliber pistol at the cops.","Unreported","No known charges","No","Allegedly Armed","gun","","","",11218,"Brooklyn","NY",40.644552,-73.97595,"http://www.dnainfo.com/new-york/20130310/east-flatbush/police-fatally-shoot-allegedly-armed-teenager-brooklyn"
"Kimber Key",99.2998524726736,"59","White","Male","","2015-04-21","Lexington County Sheriff's Office","Gunshot","The subject's brother called police to seek help for his brother who was allegedly suicidal. When officers arrived, the man was in the kitchen wielding a knife. The man was shot by a deputy and died.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","knife","other","Not fleeing","No",29212,"Columbia","SC",34.075611,-81.17611,"http://www.wltx.com/story/news/local/2015/04/22/man-shot-by-deputies-in-lexington-county-dies/26176707/"
"Kobe Heisler",547.233143276564,"21","Black","Male","","2019-08-31","Brooklyn Center Police Department","Gunshot","Police responded to a domestic assault and weapons call. Around 4:15 p.m., officers and Kobe Heisler reportedly struggled, and Heisler was shot and killed by officers.","Justified by County Attorney","No known charges","No","Allegedly Armed","hammer","other","Not fleeing","Yes",55429,"Minneapolis","MN",45.064714,-93.34155,"https://minnesota.cbslocal.com/2019/09/01/fatal-officer-involved-shooting-in-brooklyn-center/"
"Konstantin Morozov",8.61250337122056,"48","White","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Konstantin-Morozov.jpg","2017-08-22","Santa Maria Police Department","Gunshot","Konstantin Morozov allegedly abducted his 9-year-old son after allegedly shooting and killing the child's mother, prompting an Amber Alert, was killed by police in Tarzana, and the child was found safe.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","other","Not fleeing","No",91356,"Tarzana","CA",34.164255,-118.54472,"http://www.ocregister.com/2017/08/22/man-shot-killed-by-police-in-encino-believed-to-be-suspect-in-murder-child-abduction/"
"Korryn Gaines",59.4964929586807,"23","Black","Female","http://www.fatalencounters.org/wp-content/uploads/2013/10/Korryn-Gaines.jpg","2016-08-01","Baltimore County Police Department","Gunshot","Gaines was wanted for failing to appear in cases related to a March incident in which she was charged with disorderly conduct, resisting arrest and numerous traffic violations, police said. After an hours-long standoff, she was shot and killed. A 5-year-old child also received a gunshot wound.","Civil suit/Family awarded money","No known charges","No","Allegedly Armed","gun","attack","Not fleeing","No",21133,"Randallstown","MD",39.376372,-76.79916,"http://www.baltimoresun.com/news/maryland/crime/bs-md-co-police-barricade-20160801-story.html"
"Kris Jackson",1.38629436111989,"22","Black","Male","http://www.kcra.com/image/view/-/33606430/medRes/1/-/maxh/460/maxw/620/-/xldfqjz/-/Kris-Jackson-061615-jpg.jpg","2015-06-15","South Lake Tahoe Police Department","Gunshot","An officer responding to a domestic disturbance fatally fired at Jackson after seeing the 22-year-old man climb through a back window at a Lake Tahoe motel.","Pending investigation/No Known Charges","No known charges","No","Unarmed/Did Not Have Actual Weapon","no object","other","Foot","No",96150,"South Lake Tahoe","CA",38.908741,-120.00992,"http://www.sacbee.com/news/local/crime/article24714634.html#storylink=cpy"
"Krys Brandon Ruiz",19.5653029545433,"26","Hispanic","Male","https://lompocrecord.com/lifestyles/announcements/obituaries/krys-brandon-ruiz/article_ae14d19b-f0d5-5bb5-81dc-1947a118fddb.html","2021-03-28","Lompoc Police Department","Gunshot","Krys Brandon Ruiz was shot and killed after police responded for a report of a person walking with a gun. The officers involved in the incident have been identified by the police department as Corporal Andrew White and Officer Mauricio Calderon. Details as to what precipitated the killing were withheld by police.","Pending investigation","No known charges","No","Allegedly Armed","gun","other","","",93436,"Lompoc","CA",34.639682,-120.4471,"https://www.ksby.com/news/crime/officer-involved-shooting-leaves-one-dead-in-lompoc"
"Kurt Andras Reinhold",16.0197962579044,"42","Black","Male","","2020-09-23","Orange County Sheriff's Department","Gunshot","Two deputies contacted an apparently homeless man who was walking down the middle of the street. He was argumentative, and when the deputies tackled him, deputies allege he attempetd to grab one's gun, and they shot and killed him.","Pending investigation","No known charges","Unknown","Unarmed/Did Not Have Actual Weapon","no object","attack","","No",92672,"San Clemente","CA",33.427078,-117.61401,"https://losangeles.cbslocal.com/2020/09/23/suspect-killed-deputy-shooting-san-clemente/"
"Kurt Myers",78.6258991481642,"64","White","Male","http://ww2.hdnux.com/photos/20/36/45/4319577/29/628x471.jpg","2013-03-14","U.S. Marshals Service","Gunshot","With no known motive, Myers set his own house on fire and embarked on a shooting spree that left four dead and another two seriously injured. Police and FBI tracked him to the boarded-up ""Glory Days"" bar storefront in downtown Herkimer. After a tense 19-hour standoff, and his killing of a police dog, officers opened heavy fire on Myers and shot him dead.","Justified","No known charges","No","Allegedly Armed","gun","","","",13350,"Herkimer","NY",43.038149,-74.9846,"http://www.timesunion.com/local/article/Real-world-storms-in-4354255.php"
"Kwamaine O'Neal",10.2949889536269,"47","Black","Male","https://fatalencounters.org/wp-content/uploads/2020/12/Kwamaine-ONeal.jpeg","2020-12-05","Toledo Police Department","Gunshot","Officers called to Kwamaine O'Neal's residence on a domestic violence report. Four officers fired on and killed O'Neal after the gun was pointed at police.","Pending investigation","No known charges","Yes","Allegedly Armed","gun","attack","not fleeing","yes",43605,"Toledo","OH",41.642549,-83.5104,"https://www.wtol.com/article/news/crime/armed-man-shot-and-killed-by-toledo-police-at-weiler-homes/512-d121faaf-6664-4af2-bc39-2c2d9479574f"
"Kwamena Ocran",4.77912349311153,"24","Unknown Race","Male","","2021-01-08","Gaithersburg Police Department","Gunshot","Around 6 p.m. officers encountered an armed person who allegedly displayed a handgun, and Officers Willie Delgado, Larbi Dakkouni, James Doyle and Kyle Khuen shot and killed him.","Pending investigation","No known charges","No","Allegedly Armed","gun","other","foot","no",20877,"Gaithersburg","MD",39.13975,-77.18568,"https://www.wusa9.com/article/news/local/maryland/gaithersburg-police-involved-shooting-investigation/65-9ca05bf1-3bc3-4040-8333-3227e30460b7"
"Kwesi Ashun",1.6094379124341,"36","Black","Male","https://fatalencounters.org/wp-content/uploads/2019/10/Kwesi-Ashun.jpg","2019-10-25","New York Police Department","Gunshot","Two officers were called to a nail salon after Dewayne Hawkes, 26, who came in to use a restroom, started urinating in the middle of the store. During the arrest attempt, according to police, Kwesi Ashun entered the salon and fought with police and struck an officer in the head with a chair. Police said one officer used his Taser on the man, but it did not incapacitate him. An officer shot Ashun six times, killing him.","Pending investigation/No Known Charges","No known charges","No","Unclear","chair","attack","Not fleeing","No",11212,"Brooklyn","NY",40.662191,-73.91328,"https://www.ny1.com/nyc/brooklyn/news/2019/10/25/brownsville-brooklyn-shooting-nypd-officers-injured-nyc"
"Ky Johnson",17.3667707325606,"31","Black","Male","","2020-07-02","Kansas City Police Department","Gunshot","Police responded to a disturbance around 4:40 p.m. in a McDonald's parking lot. Witnesses described the man who shot the officer as erratic and said he was waving a weapon and yelling in the parking lot before police arrived. Ky Johnson allegedly shot the KCPD officer in the head. The injured officer's partner shot and killed Johnson.","Pending investigation","No known charges","Yes","Allegedly Armed","gun","attack","Foot","No",64128,"Kansas City","MO",39.066754,-94.5365,"https://fox4kc.com/news/kansas-city-police-report-officer-involved-shooting-near-31st-and-van-brunt/"
"Kyle Baker",23.0446708879086,"18","White","Male","http://www.killedbypolice.net/victims/150465.jpg","2015-05-28","Trenton Police Department","Gunshot, Taser","Officers responded to a call that Baker was behaving threateningly, possibly under the influence of alcohol or drugs. Officers shot Baker with a stun gun but he advanced and wounded an officer in the hand with a lawn mower blade. He was fatally shot in the abdomen.","Pending investigation/No Known Charges","No known charges","Drug or alcohol use","Allegedly Armed","lawn mower blade","attack","Not fleeing","No",48183,"Trenton","MI",42.137071,-83.21446,"http://www.clickondetroit.com/news/man-attacks-officer-shot-by-police-trenton/33276844"
"Kyle Gray",7.12205988162914,"24","White","Male","http://www.killedbypolice.net/victims/171128.jpg","2017-12-11","Seattle Police Department","Gunshot","After an alleged shoplifting incident and robbery and firing a shot near an apartment manager, police chased a man who fired on them during the chase. After stopping, he allegedly fired on officers and was shot and killed.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Car","No",98115,"Seattle","WA",47.68382,-122.30122,"http://www.kiro7.com/news/local/breaking-robbery-suspect-killed-in-officer-involved-shooting/662727642"
"Kyle Hart",32.0055957437416,"33","White","Male","https://www.fatalencounters.org/wp-content/uploads/2018/12/KyleHart.jpg","2018-12-10","Redwood City Police Department","Gunshot","Kyle Hart's wife called police just before 9 a.m. requesting help for her husband, who was attempting suicide, police said. Several officers responded and found Hart in the side yard of their home, holding a butcher knife. The first two officers tried to get him to drop the knife, police said. Hart reportedly refused to do so and started running at the officers, one who reportedly shocked him with a Taser, while the other shot and killed him.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","knife","other","Not fleeing","No",94061,"Redwood City","CA",37.463911,-122.23396,"https://www.paloaltoonline.com/news/2018/12/10/palo-alto-teacher-dies-after-officer-involved-shooting"
"Kyle Lambrose",7.20414929203594,"27","White","Male","http://img01.funeralnet.com/obit_photo.php?fullsize=1&id=1540231&clientid=jenkins-soffe&iid=889565","2015-08-26","West Jordan Police Department","Gunshot","Lambrose's wife told police her husband was suicidal and had barricaded herself and their three children inside their house, according to authorities. An officer was rescuing Lambrose's children from an upstairs room when Lambrose entered the room and allegedly fired a shot toward the officer, prompting the officer to return fire, police said.","Under investigation","No known charges","Yes","Allegedly Armed","gun","attack","Not fleeing","No",NA,"","",40.6024,-112.0008,"http://www.sltrib.com/home/2880568-155/police-west-jordan-man-dead-after"
"Kyle Thomas",20.0699899482521,"26","White","Male","","2019-02-20","Honolulu Police Department","Gunshot","Officers were near a Walmart on an unrelated issue when they heard a call about a male theft suspect. One of the officers reportedly saw a person who matched the description in the parking lot and followed his truck onto Lanikuhana Avenue. When the truck stopped at a light, they surrounded it and ordered the driver to get out of the vehicle. The man ignored the commands and rammed the police vehicle behind him in an attempt to flee. The man then allegedly accelerated toward one of the officers, and two officers fired at the driver, killing him. The vehicle continued down the avenue where it slammed into a tree.","Pending investigation/No Known Charges","No known charges","No","Vehicle","vehicle","attack","Car","No",96789,"Mililani","HI",21.459206,-158.0116,"https://www.khon2.com/top-stories/officer-involved-shooting-in-mililani/1797922314"
"La'Mello Parker",179.768162418101,"1","Black","Male","https://fatalencounters.org/wp-content/uploads/2021/05/LaMello-Parker.png","2021-05-03","Biloxi Police Department","Gunshot","Police were searching for an alleged kidnapper and double-murder suspect, Eric Smith. Smith was killed he exchanged gunfire with officers. Police also shot and killed the baby La'Mello Parker.","Pending investigation","No known charges","No","Unarmed/Did Not Have Actual Weapon","no object","","","",39532,"Biloxi","MS",30.462388,-88.93293,"https://www.wlox.com/2021/05/03/happening-now-louisiana-murder-suspect-dead-kidnapped-baby-stable-condition/"
"La Garion Smith",9.92568926051981,"27","Black","Male","","2021-01-03","Homestead Police Department","Gunshot","Around 2:30 a.m., Homestead Police responded to a burglary-in-progress call at a home. Officers began blocking off the area and reportedly saw a man running away. La Garion Smith allegedly produced a firearm, shot at the Homestead officers, and the officers shot and killed him.","Pending investigation","No known charges","No","Allegedly Armed","gun","attack","foot","No",33030,"Homestead","FL",25.479438,-80.48687,"https://www.local10.com/news/local/2021/01/03/suspect-killed-on-steps-of-homestead-city-hall-in-police-involved-shooting/"
"Lamar Alexander",94.8398044195913,"41","Black","Male","https://fatalencounters.org/wp-content/uploads/2019/12/Lamar-Alexander.jpg","2019-12-05","Miami-Dade Police Department, Miramar Police Department, Pembroke Pines Police Department","Gunshot","Lamar Alexander, 41, and Ronnie Jerome Hill, 41, reportedly attempted an armed robbery of a Miracle Mile jewelry store in Coral Gables, Florida. The robbery turned into a hostage situation after Alexander and Hill carjacked a UPS truck. The police chase ended in a shootout on a busy highway with four dead, including the UPS driver Frank Ordonez, 27, and Richard Cutshaw, 70, a union representative.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Car","No",33025,"Hollywood","FL",25.990494,-80.27326,"https://wsvn.com/news/local/fbi-4-dead-including-ups-driver-after-police-chase-ends-in-gunfire-after-coral-gables-armed-robbery/"
"Lamar Harris",29.166984449533,"29","Black","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/harrislamar1.jpg","2016-03-14","Chicago Police Department","Gunshot","Officers were investigating ""possible narcotics activity,"" police said. They approached Harris, who took off running and then turned and fired, hitting one officer in the back, another in the foot and the third officer in the chest, possibly in his bulletproof vest, police said. At least one of the officers shot and killed Harris.","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Foot","No",60624,"Chicago","IL",41.879365,-87.72199,"http://www.chicagotribune.com/news/local/breaking/ct-officers-shot-on-west-side-20160314-story.html"
"Lamont Perry",14.822487705593,"32","Black","Male","http://www.fatalencounters.org/wp-content/uploads/2013/10/Lamont-Perry.jpg","2016-10-27","North Carolina Department of Public Safety","Physical restraint","Perry was killed when Probation and Parole Officer William Kyle Torrence attempted to arrest him for parole violations. Wadesboro police were there, but their role is not clear. No shots were fired.","Pending investigation/No Known Charges","No known charges","No","Unarmed/Did Not Have Actual Weapon","no object","other","Not fleeing","",28170,"Wadesboro","NC",34.985423,-80.08543,"http://www.wbtv.com/story/33506639/probation-officer-idd-after-person-dies-while-being-arrested-in-anson-co"
"Lance Clay",159.176983798291,"50","White","Male","http://wsav.images.worldnow.com/images/22795016_BG2.jpg","2013-07-08","Pooler Police Department","Gunshot","Police responded to ""threatening issues"" at home of Clay, who shot at them from house before emerging with gun in hand.","Pending investigation/No Known Charges","No known charges","Yes","Allegedly Armed","gun","","","",31322,"Pooler","GA",32.110421,-81.24568,"http://www.wsav.com/story/22795016/police-involved-shooting-leaves-man-dead"
"Lance Light",226.73681117302,"54","White","Male","","2016-01-02","Sweetwater Police Officer","Gunshot","Light allegedly shot and killed Lonnie Odell Sturdivant, 59, on January 2nd. Police have not revealed any additional details on the murder. Light was shot by a Sweetwater Police Officer during a pursuit that began at the crime scene and ended near the intersection of I-20 and TX-70","Pending investigation/No Known Charges","No known charges","No","Allegedly Armed","gun","attack","Car","No",79556,"Sweetwater","TX",32.465621,-100.39814,"http://www.bigcountryhomepage.com/news/breaking-news/murder-suspect-shot-by-sweetwater-police-officer-has-died"
"Laquan McDonald",836.996233439595,"17","Black","Male","","2014-10-20","Chicago Police Department","Gunshot","McDonald was shot and killed after being suspected of breaking into cars. McDonald also slashed an officers tire with a knife. He then led officers on a shot foot chase and refused to drop the knife, prompting an officer to shoot and kill him.","Charged with 1st degree murder","Charged with a crime","No","Allegedly Armed","knife","","","",60624,"Chicago","IL",41.879365,-87.72199,"http://chicago.suntimes.com/crime/7/71/145458/boy-17-shot-to-death-by-police-on-southwest-side-identified"
"Laronda Sweatt",15.0437182115864,"40","Black","Female","","2016-04-06","Gallatin Police Department (officer did the shooting) Sumner County Sheriff's Department (attacked with ax)","Gunshot","Sweatt was shot after she allegedly injured a sheriff's deputy who had arrived at her home to serve her with an eviction notice. Body camera footage shows an officer shooting Sweatt as she approaches with an ax.","Justified by District Attorney","No known charges","Unknown","Allegedly Armed","Ax","attack","Not fleeing","Yes",37066,"Gallatin","TN",36.388997,-86.4548,"http://www.tennessean.com/story/news/local/sumner/gallatin/2016/04/07/gallatin-police-release-graphic-video-officer-shooting-woman-ax/82764688/"
